"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Barbados","BRB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","120.33","124.81","142.6","128.93","144.38","132.32","152.01","123.12","117.09","132.81","120.84","110","108.8","104.45","98.38","104.57","116.53","112.98","124.05","138.01","122.77","114.41","104.84","109.7","105.5","116.34","106.86","108.07","107.3","110.69","108.74","97.41","90.69","93.04","97.31","111.82","106.05","98.25","105.02","102.27","95.25","92.24","95.9","96.56","105.77","97.68","101.33","94.5","99.08","91.24","93.72","94.66","89.13","87.86","","",
"Brunei Darussalam","BRN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","16.57","21.75","20.24","17.41","16.07","17.07","18.93","20.18","22.72","23.76","23.5","21.12","24.38","33.22","30.6","29.78","28.88","26.94","28.83","32.97","35.42","38.39","40.15","40.19","53.35","42.8","32.58","28.81","32.86","27.68","30.48","41.4","42.06","44.9","46.07","39.98","51.5","59.45","74.9","84.89","97.77","108.2","105.95","102.67","74.79","122.54","128.57","132.52","133.01","139.63","150.06","154.67","167.53","157.21","","",
"Bhutan","BTN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","31.41","32.75","34.01","34.92","35.82","36.58","37.55","38.42","39.42","40.3","41.26","42.18","43.09","44.11","45.18","46.26","47.29","48.57","49.66","52.61","56.4","57.03","58.43","63.72","60.76","61.4","68.14","58.4","59.48","69.26","70.65","68.5","67.88","69.58","72.5","72.81","71.9","70.62","79.95","70.39","71.84","70.77","74.95","83.2","105.78","111.02","111.75","92.05","89.12","94.42","110.29","102.27","95.7","98.97","","",
"Botswana","BWA","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","57.85","58.25","64.07","70.71","69.74","71.92","75.14","72.59","73.93","80.32","87.15","86.49","82.12","84.82","82.19","91.84","87.7","72.37","91.54","71.32","88.81","92.64","86.32","95.51","92.76","91.16","81.73","87.26","90.38","97.49","104.19","101.09","100.67","93.57","110.38","103","95.6","92.15","81.62","89.59","97.09","91.15","93.76","100.7","101.5","97.8","99.68","108.65","114.24","124.91","143.96","128.42","127.47","110.42","","",
"Central African Republic","CAF","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","30.65","31.22","31.56","31.55","33.48","32.47","35.11","35.45","36.95","37.93","39.17","40.54","41.96","44.82","45.99","46.15","47.45","47.02","48.89","50.58","52.09","53.51","53.83","51.6","52.36","57.28","57.34","60.71","61.96","62.55","64.01","67.03","68.74","70.06","74.11","82.52","82.12","84.44","84.23","92.75","90.34","92","89.76","94.78","101.37","103.84","108.93","110.54","113.6","115.2","120.14","121.65","123.51","115.16","","",
"Canada","CAN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","30.64","36.44","38.91","37.61","40.56","43.84","39.43","42.2","41.08","38.47","43.59","42.54","42.6","40.38","44.48","49.83","49.57","51.17","47.11","50.2","54.36","58.45","55.24","55.37","57.43","61.89","59.66","53.13","58.98","74.98","73.96","73.62","76.09","78.03","80.49","85.72","84.37","89.45","94.71","92.7","86.2","83.88","91.14","98.17","101.97","99.86","100.05","108.28","104.06","103.06","103.13","106.04","116.72","110.66","","",
"Central Europe and the Baltics","CEB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9927773808017","104.217826139653","93.2744280045354","96.6836636172623","97.4942245692787","98.2894781878955","97.1880090320613","95.4889547113748","91.9116873686669","97.0740212797187","93.6142471329799","93.5212323557329","104.59534887394","97.1052947954508","98.2993563306097","92.1827704178299","102.45572433779","101.152865494322","96.6378013037266","100.47558715626","97.7125698604651","102.012213406358","","","",
"Switzerland","CHE","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","77.16","80.33","77.95","78.89","75.63","79.86","87.54","85.88","86.9","85.2","85.5","82.91","89.81","87.3","91.52","91.92","91.62","93.26","101.09","97.81","95.01","105.66","98.64","103.35","101.58","103.74","97.7","102.35","102.09","107.35","105.13","110.46","106.55","100.95","102.47","105.05","99.22","106.5","98.16","101.94","98.63","100.86","96.86","101.43","99.44","99.14","101.45","102.45","105.08","102.66","108.82","104.19","100.92","106.21","","",
"Channel Islands","CHI","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","26.76","27.96","28.16","27.86","27.18","30.35","30.44","32.54","30.3","31.93","32.2","30.38","27.72","32.47","33.71","33.25","35.8","35.33","38.22","38.85","42.02","42.24","39.46","41.12","41.13","42.93","45.31","48.54","52.47","58.07","59.82","62.59","66.4","71.67","75.97","78.75","78.91","81.12","79.73","82.08","88.77","88.93","91.63","95.02","99.69","105.29","101.9","104.96","104.57","107.94","112.66","111.72","112","111.22","","",
"China","CHN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","12.42","13.12","13.84","14.92","16.16","17.13","17.36","17.27","17.46","18.29","19.32","19.21","20.87","20.94","21.46","21.34","21.58","23.79","25.19","25.25","26.67","29.07","31.09","33.99","34.43","36.21","38.19","39.35","40.89","48.98","50.43","53.3","58.02","61.56","66.52","71.48","73.45","77.67","80.64","84.79","86.43","90.09","91.7","96.8","100.35","102.85","107.82","113.79","116.81","120.68","124.9","129.53","131.87","134.05","","",
