,country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
37,Chile,CHL,14548.0,14007.0,14043.0,15267.0,15474.0,14273.0,12805.0,9776.0,7011.0,1543.0,860.0,834.0,1709.0,1555.0,1194.0,938.0,805.0,970.0,994.0,1312.0,1170.0,1189.0,1152.0,596.0,579.0,561.0,490.0
38,China,CHN,1426.0,2011.0,82576.0,111509.0,113907.0,104693.0,105810.0,106738.0,109402.0,111952.0,110975.0,117409.0,132115.0,132406.0,134724.0,124101.0,140598.0,149095.0,175180.0,180558.0,184602.0,190369.0,193453.0,195133.0,210802.0,212912.0,207733.0
39,Cote d'Ivoire,CIV,2.0,13.0,34.0,41.0,98.0,201.0,268.0,360.0,537.0,562.0,773.0,858.0,23741.0,33637.0,23655.0,18338.0,26315.0,22232.0,22227.0,23153.0,41758.0,154824.0,100720.0,85652.0,71966.0,71115.0,46741.0
40,Cameroon,CMR,100.0,1.0,83.0,173.0,238.0,2017.0,2109.0,2258.0,1348.0,1654.0,2062.0,2724.0,5225.0,6206.0,7629.0,9101.0,10384.0,11508.0,13870.0,14766.0,14963.0,15163.0,13382.0,11427.0,10766.0,10586.0,10328.0
41,"Congo, Dem. Rep.",COD,67423.0,65816.0,81269.0,74826.0,73286.0,89738.0,158794.0,173995.0,158833.0,255950.0,371713.0,392146.0,421362.0,453465.0,462208.0,430929.0,401914.0,370374.0,367995.0,455852.0,476693.0,491481.0,509290.0,499563.0,516771.0,541496.0,537429.0
42,"Congo, Rep.",COG,2.0,4.0,7.0,11.0,32.0,177.0,221.0,21147.0,17143.0,27302.0,27579.0,24237.0,28002.0,28958.0,28152.0,24438.0,20609.0,19735.0,19925.0,20544.0,20679.0,12839.0,12119.0,11753.0,14500.0,14781.0,13231.0
43,Colombia,COL,494.0,740.0,843.0,1042.0,1363.0,1902.0,2168.0,2377.0,3538.0,4413.0,9279.0,17938.0,30625.0,37995.0,47381.0,60450.0,72796.0,551744.0,373532.0,389753.0,395577.0,395949.0,394117.0,396717.0,360298.0,340127.0,311051.0
44,Comoros,COM,4.0,2.0,2.0,2.0,5.0,10.0,13.0,10.0,33.0,31.0,28.0,26.0,43.0,58.0,50.0,61.0,72.0,96.0,378.0,268.0,368.0,422.0,454.0,513.0,581.0,551.0,557.0
45,Cabo Verde,CPV,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,8.0,9.0,8.0,5.0,40.0,32.0,30.0,24.0,25.0,27.0,25.0,28.0,27.0,28.0,
46,Costa Rica,CRI,,1.0,5.0,5.0,223.0,211.0,139.0,90.0,54.0,76.0,57.0,86.0,98.0,92.0,138.0,178.0,284.0,361.0,354.0,344.0,352.0,331.0,325.0,463.0,417.0,379.0,197.0
