,Country,Country Code,1962 Imports,1963 Imports,1964 Imports,1965 Imports,1966 Imports,1967 Imports,1968 Imports,1969 Imports,1970 Imports,1971 Imports,1972 Imports,1973 Imports,1974 Imports,1975 Imports,1976 Imports,1977 Imports,1978 Imports,1979 Imports,1980 Imports,1981 Imports,1982 Imports,1983 Imports,1984 Imports,1985 Imports,1986 Imports,1987 Imports,1988 Imports,1989 Imports,1990 Imports,1991 Imports,1992 Imports,1993 Imports,1994 Imports,1995 Imports,1996 Imports,1997 Imports,1998 Imports,1999 Imports,2000 Imports,2001 Imports,2002 Imports,2003 Imports,2004 Imports,2005 Imports,2006 Imports,2007 Imports,2008 Imports,2009 Imports,2010 Imports,2011 Imports,2012 Imports,2013 Imports,2014 Imports,2015 Imports,2016 Imports,1962 Exports,1963 Exports,1964 Exports,1965 Exports,1966 Exports,1967 Exports,1968 Exports,1969 Exports,1970 Exports,1971 Exports,1972 Exports,1973 Exports,1974 Exports,1975 Exports,1976 Exports,1977 Exports,1978 Exports,1979 Exports,1980 Exports,1981 Exports,1982 Exports,1983 Exports,1984 Exports,1985 Exports,1986 Exports,1987 Exports,1988 Exports,1989 Exports,1990 Exports,1991 Exports,1992 Exports,1993 Exports,1994 Exports,1995 Exports,1996 Exports,1997 Exports,1998 Exports,1999 Exports,2000 Exports,2001 Exports,2002 Exports,2003 Exports,2004 Exports,2005 Exports,2006 Exports,2007 Exports,2008 Exports,2009 Exports,2010 Exports,2011 Exports,2012 Exports,2013 Exports,2014 Exports,2015 Exports,2016 Exports
118,Latin America & Caribbean (excluding high income),LAC,4.01228979248,4.12523207236,4.50397241201,4.52305990563,4.32233707458,4.15193783149,3.90388011082,4.00385219942,3.60823207194,3.5869481833,3.06515497041,3.36759640706,3.43508457761,2.59392765835,2.72909130755,2.71807898855,2.56485038872,2.67257487227,2.36712208563,1.95032550625,2.30235522559,2.70103470619,3.13908258831,2.98431912144,3.24810259017,4.30495391746,3.85215996278,3.63862284234,2.99798516728,2.68581879176,2.29914261107,2.64861154099,2.31517788714,2.38602768719,2.18705250568,1.97138438446,1.7854790246,1.66368506852,1.66970743715,1.44068510895,1.52662303684,1.68174876124,1.57488127612,1.4111535634,1.34371819658,1.25934095546,1.20148330186,1.1534002597,1.24866410031,1.28769184423,1.06793264666,0.989900169371,1.00117921108,1.00999316017,1.12604714096,16.9346750317,14.4219373414,13.4492724463,13.45660597,13.8208723018,10.9517656325,11.5759882548,12.0959289588,8.76393496485,7.12720179643,8.13000903562,7.00377564629,6.11349776921,5.62402201078,6.02668632936,4.47740627478,4.74013347822,4.07330618853,3.63934720584,3.41041934195,2.92085095431,2.81045966069,2.88438175946,2.61315504212,2.51170953259,2.64753394044,3.115208435,3.04830345194,2.90365408447,3.04673284571,2.67161768752,2.36815843989,2.56123201586,3.21666707411,2.65701311913,2.34185368908,2.23446628042,2.35384839277,2.27479734216,2.15777924068,2.10588532149,2.20213678903,2.01140471117,1.86428118517,1.78180751828,1.88402395704,1.58478092998,1.66665108764,1.7416670032,1.55620567165,1.63663745919,1.58821586553,1.89539757475,2.19182488836,2.03163275763
119,Lao PDR,LAO,0.393287817162,0.275015569063,0.23190650328,0.25488169771,0.222813803499,0.37800635407,0.351424034026,0.438763159546,0.47770662041,0.215259248225,0.319142667972,0.306638914355,0.352958799204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94845956884,15.4707333658,6.93014951969,19.7706757112,15.3914018922,34.2465086265,27.3196470032,37.964307034,27.5885609528,46.0479069779,38.4558560754,63.1670593458,81.4647464507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Lebanon,LBN,,,,,,6.60571719456,6.43222689145,6.53841867944,6.27903223492,6.21261758708,6.35952645171,6.38015379478,,,,2.34366585362,,,,,,,,,,,,,,,,,,,,1.94028622811,2.05905607668,1.94744478724,1.76106172799,1.7982737062,1.69828416919,1.54071445967,1.37267134533,1.30360752071,1.18872586273,1.33046310304,1.22813939528,1.24661096315,1.1444022674,1.17682624844,1.03779916456,1.0117373704,1.20827605341,,,,,,,,10.3869544458,7.38173667225,7.03221672223,5.95731280539,5.37699329241,5.83145430793,5.51252916833,,,,1.75617424629,,,,,,,,,,,,,,,,,,,,1.50968558833,1.71783004341,1.65083564509,1.88504896957,6.12781863865,2.48660628036,1.76654822449,1.37137881967,1.51327003924,1.04636132478,0.903811731367,0.935046427229,0.882193520733,0.736066143077,0.7818594518,0.730202190266,0.692192179724,0.616410287045,,
121,Liberia,LBR,,0.790001942628,,,,0.367522928906,,,0.281978066172,0.262138972654,0.234573845501,0.291233280148,0.199455691529,0.237098561002,0.665509611805,0.428209596324,0.345834479974,0.383194039182,0.377692917583,0.446746287967,0.139122041962,0.324464187037,0.435662661138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8473604429,,,,17.1302854828,,,19.8034311987,17.9301509548,15.3431085705,18.4077337847,20.5699027097,14.9995910493,19.2286680278,19.7749591816,25.4770798825,27.2698105546,29.2642673518,23.5704359203,18.197402849,22.8776278172,25.5601046595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Libya,LBY,1.39059748138,1.06632859149,1.27587882552,1.40686360219,2.00253377671,1.86039617419,1.65839771503,1.25337885072,1.42088473917,1.91430938931,2.31283823057,4.0538714573,3.21087281178,1.94922622483,1.6186967012,2.15184548643,1.65064528165,1.46933903524,1.31693296843,1.20671646568,1.08403493777,1.57379075824,1.31787351864,0.994204104178,1.00140252163,1.08029093296,0.665288126439,1.24113534988,,1.99136675135,,,,,,0.90709067173,0.917730727527,,,,,0.725869362727,0.558879752521,,,0.232703410633,0.539161403155,0.629277827293,0.822894995028,,,,,,,0.831610181041,0.365568785928,0.258447676744,0.24658276014,0.160634738086,0.06901019728,0.0404001473635,0.0370486742458,0.0253447312362,0.0234964159379,0.162746925117,0.201633938884,0.0271229139404,0.00572667477389,0.000150962009403,0.00221380239788,0.0,0.0,,0.0,,,,,,,0.0160172712968,0.0185485615416,,0.109013745708,,,,,,0.0603910156203,0.176985860209,,,,,,,,,0.00236871202319,0.0144305508865,0.00319543768871,0.00125041939243,,,,,,
123,St. Lucia,LCA,,,,,,,,,,,,2.9747012,3.0444703078,1.57110846662,2.05881237607,1.7873120229,2.01892002379,2.30222008263,2.8330973163,1.79586793727,1.82466710166,1.86218027463,,1.92929539799,2.20101838968,2.21261108705,1.98976073635,2.52236510593,2.40743674932,2.08387776694,2.04608998528,2.1611149297,2.47465457093,2.42849922211,1.88296146934,2.13562720497,2.3006642998,2.10357476746,2.35097195315,2.30762965948,1.98659054667,1.71595828323,1.63650810055,2.14031654546,1.90009853083,1.60033350267,1.45629750464,,,,,,1.12171902629,,,,,,,,,,,,,,0.407251625725,0.239397147761,0.457097036664,0.567778237746,0.789437451328,0.803839107924,0.681277160445,0.697807061456,0.959507855938,0.778056015269,0.754908036549,,0.807663004912,1.00069482991,0.99912375561,1.08171719957,0.691549171414,0.543114362497,0.538078044394,0.238327590593,0.480393165275,0.412681451651,0.404663964804,0.137735094447,0.176735331122,0.2333638739,0.20471570198,0.398418764571,0.547879126576,0.290725729523,0.261225435177,0.351462860607,0.342582270733,0.999446667731,0.297310372011,0.267604042991,,,,,,0.4110650218,,
124,Latin America & Caribbean,LCN,4.17885130958,4.41539988773,4.6397073047,4.67846845542,4.41624662887,4.29395102303,3.99340220254,4.03414471015,3.70711478005,3.76293193142,3.38154270411,3.47718804873,3.49435621142,2.60773655808,2.80121635073,2.82342504664,2.65760705911,2.68575395704,2.33653946184,1.93143354013,2.23417014665,2.72865958362,3.15422062404,2.99833092581,3.25974832554,4.20583911421,3.76304656345,3.54340733689,2.93002153265,2.67522099619,2.2768275332,2.57464086942,2.27023737006,2.34108991125,2.13143950885,1.92365877892,1.75011491588,1.6414274054,1.64472972865,1.43831476367,1.52738335809,1.66437898666,1.56514701167,1.39479925465,1.32413825088,1.24171970907,1.16660886696,1.12690542645,1.21824249894,1.25156498606,1.04156611471,0.9745695064,0.982562798113,0.997704149981,,15.697027891,13.3949417274,12.4747610154,12.4899474189,12.7979957685,10.2522413468,10.7029185092,11.2087306975,8.34450776416,6.91890693265,7.81328910419,6.59284126973,6.0131058506,5.79253272235,6.10293058891,4.8398372091,5.24217527811,4.52090089416,4.26044268263,3.99680539773,3.5402256967,3.33325525163,3.56875823365,3.19532837714,3.20522633048,3.43769414186,3.78468155027,3.5511161681,3.45638930993,3.52461433973,3.2897776404,3.08420589529,3.31033305269,4.00348745082,3.2617395004,2.92068493951,2.79818099701,2.96719160182,2.94268998252,2.84519632632,2.75841249063,2.73235641274,2.47212102826,2.20656033351,2.04074346031,2.2256486664,1.96923171401,1.98943127296,2.03353615433,1.90078686071,1.9655242874,1.98619493262,2.33113000918,2.66613130973,
125,Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91030381806,2.72411244088,2.62045576324,3.01190646084,3.15360441144,2.79883912702,,2.43793406782,2.45789235955,2.25018859585,2.39998008361,2.28959862206,,,,,,,,,,,,,,19.5167375768,,19.7782223769,,,,,,13.738238215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31953056608,,2.51669938214,3.57978205009,,,,,,
126,Sri Lanka,LKA,1.62656046816,1.11406159131,0.927616222534,2.09975456779,1.17131098039,1.83874900256,1.1575107241,1.38052514983,2.10747103042,1.88995222369,3.09047070722,,3.18134867503,2.35553269098,2.59731359887,2.06451026084,2.7160502578,2.15850047644,1.06357575869,1.55448136278,1.49730968692,1.50447486798,1.48791914998,1.8792182251,1.6211660642,1.85674686652,2.15052844885,1.92715003506,1.80451379432,2.15749633112,1.9880112683,2.07111538788,1.94993627259,,,,,1.20099923818,1.19604739339,1.29781393525,1.18027918269,1.12627853072,1.13743393038,1.22408952612,1.39350925677,1.3621121302,1.11140019849,1.15937581661,1.45280318561,1.61172863537,1.34282200722,1.26019684934,1.56293707166,2.18601748783,,18.8879692586,17.803326602,19.1296091397,18.7545445913,22.7451303016,20.1974094123,19.706844155,26.0188071286,25.2814439002,19.505112517,16.8466232135,,26.1133678554,19.5080277713,21.2009822865,16.7789415837,17.9752169995,19.3877306061,18.1328431576,17.1359827815,13.8984211728,13.8030320554,10.7785242305,9.7774396477,10.4660229399,9.9215552438,10.1065313412,8.11680936907,5.81307988613,4.89973798221,4.19070147566,3.42518085082,3.5196851789,,,,,1.95318526058,1.57620003269,1.6024218005,1.66595834155,2.04600579513,2.20166339927,2.05064633319,2.66943648768,2.28917429986,3.07003488163,3.23437104256,3.94824652853,4.02294766533,3.33062074463,2.63006720798,2.63681407539,2.48179503554,
127,Lower middle income,LMC,,,,,,4.65224486855,4.70924486692,5.46905299524,5.58534913097,5.26562326902,5.47806929489,4.08934209358,2.80752260634,2.67955008938,2.84213705142,5.39251282717,4.20248887104,3.30222008375,2.75330928313,2.83536830581,,2.95431838747,3.27217660681,3.43257895601,3.52654513729,3.93971027255,4.43670938376,4.19196042484,4.04676170538,3.52333871107,3.85617342825,3.46586799721,,4.23944344091,3.37219265336,3.31078824756,3.37645955147,3.43591703487,3.38999456717,3.66319556399,3.15377501983,3.12442236454,3.10215141975,2.54518937376,2.27678594447,2.2599997472,2.09270477153,2.02382754859,2.17612233277,2.33033609174,1.8899791726,1.97893454699,2.00804029079,1.99737391462,,22.5157376656,,,,,18.7698182726,18.2185872219,17.369414034,17.9186960289,16.6280263371,14.8939638785,15.7435532205,11.9766718748,10.30825254,9.83832435711,8.62068238693,8.62461106899,9.3864548854,9.14437518362,6.29663116517,,5.5304997169,5.94962209438,5.81645427564,5.67550895668,5.38048809437,,,4.38523850426,3.63574676533,,,,4.68634237139,4.04055961318,3.36440714039,2.97941064359,2.60329013689,2.42743490876,2.36595359878,2.43818393676,2.5499786652,2.87035571489,2.7161611538,2.81636194929,2.72679531341,2.76112640353,2.08105427318,2.88184227096,3.66496509415,3.35970262548,2.81238755651,2.08763607678,2.41104898335,
128,Low & middle income,LMY,,,,,,,,,,,,,,,,,,,,,,,4.84722267127,4.11713280796,4.02038012273,5.08069692376,5.85094070738,5.1809657775,4.54690919866,4.3179671172,3.8404234387,3.14868113296,3.72128881721,4.02915618996,3.50902336019,3.42104931681,3.06612109192,3.04517006045,3.18987851998,3.1108275434,2.88229951203,2.81089320006,2.7408414247,2.4952193925,2.42637646513,2.32105738718,2.20228830363,2.15360772381,2.34924722262,2.57329348148,2.2966489008,2.20997460495,2.14206249733,2.2222608105,,,,,,,,,,,,,,,,,,,,,,,,5.94983004899,5.52340042752,5.43201883018,5.99423517389,5.77900445801,5.26603699795,4.1132484015,3.46135327676,3.27112480082,2.79627551573,2.91519860805,3.08159478099,2.9273827659,2.62963351414,2.32754332639,2.28331308725,2.09455264302,1.8802723696,1.91287196792,2.04054215855,1.89354806382,1.77197168784,1.75151357335,1.76964442036,1.60472210779,1.46540085201,1.68511160172,1.89180843507,1.71419776446,1.57748681747,1.42743536954,1.51325336953,
129,Lesotho,LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.849665415352,0.946847455212,0.813266046992,0.757385696272,0.854788302936,,,,1.92195868682,1.75989850821,2.18474781877,3.10880868203,2.71819302382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141482271938,2.914438189,5.07196299358,0.382401067438,0.735820184915,,,,9.08725722946,3.45233728689,5.25397238764,3.4441823545,5.71564092914,,,,
130,Late-demographic dividend,LTE,,,,,,,,,,,,,,,,,,,,,,,5.72476993431,4.57228021516,4.18688719757,5.23254565206,6.33417528908,5.22758535134,4.65742738144,4.33691340931,3.68114105848,2.77581806054,3.57302764246,3.9880562929,3.56663071609,3.50276376281,2.95000032336,2.85018298123,3.12464200501,2.93832276919,2.8741714767,2.75771458473,2.75309339068,2.52782411072,2.6279261086,2.38635753805,2.25321210845,2.32763159489,2.52078611301,2.82483529289,2.49966771857,2.32550490128,2.2444494461,2.38521280653,,,,,,,,,,,,,,,,,,,,,,,,6.30799154298,,5.8983420398,6.59876873586,,5.02417322191,4.09440571703,3.31745921482,3.04447501307,2.72155860377,2.99213465349,2.93161496779,2.73123963184,2.60671563964,2.24404566181,2.16874684434,2.05548052816,1.83639522322,1.95671831884,1.93951670387,1.77092719349,1.60754812865,1.64474923596,1.52872994138,1.36001093816,1.4086918028,1.54146342681,1.65535338009,1.40498104183,1.33125780965,1.28850891653,1.40675848392,
131,Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11093028574,,2.63567297086,3.9062347884,2.80689637649,2.60707868035,2.64553992494,3.06343613039,2.99303451064,2.86003914256,2.67924687223,2.45513467275,2.45259263528,2.2651720636,1.94027737773,1.94649026818,1.42052894008,1.630644105,1.65596888406,1.68656982153,1.67358104678,1.8496048972,1.99562280773,2.20366043025,2.44469105142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74823638692,,4.6129808803,7.81386646808,5.77932217655,4.56195285762,4.27349510489,6.08215218493,5.18273466654,4.30175864272,4.39479155265,4.24833565773,3.70020790119,3.19761678089,2.76608020965,2.92705558358,1.84347917955,1.97579225248,2.28256089141,2.3482902975,2.15152754281,2.48975149712,2.64237038578,2.88754017118,2.98849304634
132,Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09436225218,1.10267199578,0.982376562096,1.11539810591,1.1904404893,1.18892380566,1.04193086412,1.19291897976,1.16620054212,0.996222266963,1.59933584999,1.06410818645,3.34062773269,2.71571366474,2.26092914869,1.93091931312,1.94176155126,2.00519885297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766416902712,0.569603911028,0.474867565302,0.62078107032,0.941047784591,0.803505894025,0.70942555468,0.729415108259,0.770009737626,0.541039799754,0.931244037409,2.96815706514,3.6876626461,3.01661455618,2.39895573386,2.01098551056,1.92224005919,1.96570550049
133,Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.958672571625,1.73964640621,1.72770522377,1.83511568813,1.94759863468,2.02184378922,2.01631416862,1.80095595662,2.06895309655,2.74704572914,3.48261782988,2.67249420135,2.0690171965,2.74633902807,1.50412063379,1.29563347845,1.4813089703,1.26788094955,1.38050951081,1.57866844708,2.13380897321,,2.43195042044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2716240409,22.9925509087,19.320955197,23.9761391934,26.7765061182,29.8494342332,29.4708030533,24.8680547685,23.8743879269,25.478329931,19.4206525843,15.93514935,14.2324317186,14.3668818012,9.37078202095,9.87933259836,12.1647503971,10.1592433886,8.71402275043,9.50205610415,10.4984518539,,10.3851109333
134,"Macao SAR, China",MAC,,,,,,,,,,,,2.11148344972,2.27545487285,2.00535238459,2.14933371131,21.8529293667,24.4626366527,8.25693700943,6.78774732365,6.47806081573,,7.26781526805,7.69155853525,6.42810144495,6.05877571732,8.2570697792,5.8293642991,5.21699824046,3.44734598262,3.57480458638,3.34379186744,3.04991407887,2.74178263401,2.6606569815,3.19496260938,2.079809273,0.966413901078,1.0330219303,1.37578145942,1.03697333973,1.15789786214,1.2650438321,0.498742643924,0.382648345569,0.354960840322,0.31573245571,0.288853668135,0.316381304629,0.267945424731,0.27186461045,0.244369539519,,0.291577096351,0.308169382006,,,,,,,,,,,,,0.0643985551935,0.0712034669725,0.0830760077122,0.0637285824734,0.0709753003495,0.180382706652,0.0777355309226,0.553858428032,1.25145715462,1.13867551594,0.909292919143,0.892377250696,0.888801886266,0.670962550703,0.600713969928,0.533684741981,0.969356492848,0.772547869246,0.900635825977,1.26478295892,1.99948770768,2.31189805193,2.40979599027,2.3949391044,1.09316025201,0.0121157161271,0.0168237498978,0.0184480252654,0.027083940448,0.0181631257208,0.0147044705384,0.00978519977791,0.0148312739578,0.0136706202493,0.0127903460396,0.0110664578234,0.0253533206787,0.0,0.0,0.0,,0.468947318717,0.516431130564,
